Category,Service,Pop-up Question(s),Answer(s),Estimated Time,Description,Service Active
Popular ,Oil Change,1. Synthetic (recommended) or conventional?,"1.1  Y
1.2  N
1.3  Not sure",30 min,"Drain the old engine oil, replace it with fresh oil, and install a new oil filter to keep the engine properly lubricated and running smoothly.",Y
,,2. Is there an oil leak?,"2.1  Y
2.2  N",,,
Popular ,"Tires (Repair, Replacement & Flat Fix)",1. What type of tire service do you need?,"1.1  Seasonal swap (winter ↔ summer on rims)
1.2  Tire replacement (new tires)
1.3  Flat tire change (install spare)
1.4  Not sure",30–60 min,"We safely remove and install your tires at your location, ensuring they are properly mounted and ready for the road.",Y
,,2. Do you have the tires ready at the location?,"2.1  Yes
2.2  No",,,
,,3. Do you have a wheel lock key (if applicable)?,"3.1  Yes
3.2  No
3.3  Not sure",,,
Popular ,Brake Pad Replacement,"1. Are you replacing front, rear, or both?","1.1 Front
1.2 Rear
1.3 Both",45–60 min,Remove worn brake pads and install new ones to restore safe stopping power and prevent damage to the brake rotors,Y
,,2. Any squeaking or grinding noises?,"2.1 Yes
2.2 No",,,
,,3. Want the rotors inspected/replaced too?,"3.1 Yes
3.2 No ",,,
Popular ,Battery Replacement,1. What’s happening with the car?,"1.1  Won’t start
1.2  Slow crank
1.3  Battery light on
1.4  Dead",30–45 min,Remove the old battery and install a new one to ensure the vehicle starts reliably and the electrical system functions properly.,Y
,,2. Do you have jumper cables or need a boost?,"2.1  Yes
2.2  No",,,
,,3. About how old is your battery?,"3.1  <2 yrs
3.2  2–4 yrs
3.3  4+ yrs
3.4  Not sure",,,
Popular ,Tire Rotation,1. Do you have a wheel lock key?,"1.1  Yes
1.2  No",20–30 min,Move tires between the front and rear positions to promote even tire wear and extend the life of the tires.,Y
,,2. Any vibrations or pulling while driving?,"2.1 Yes 
2.2 No",,,
Popular ,Engine Air Filter Replacement,1. Any noticeable loss of power or unusual engine sounds?,"1.1 Yes 
1.2 No",15–20 min,Install a new engine air filter to ensure the engine receives clean air for efficient combustion.,Y
Popular ,Cabin Air Filter Replacement,,,15–20 min,Replace the cabin air filter to improve the quality of air entering the vehicle’s interior through the ventilation system.,Y
Popular ,Spark Plug Replacement,,,30–45 min,"Install new spark plugs to improve engine ignition, fuel efficiency, and overall engine performance.",Y
Popular ,Coolant Flush,,,45–60 min,Drain old coolant from the cooling system and refill with fresh coolant to help prevent engine overheating and corrosion.,Y
Popular ,Transmission Fluid Change,1. Are you currently experiencing any transmission issues?,"1.1  No issues
1.2  Vibrating or shaking
1.3  Jerking during acceleration
1.4  Unusual noises
1.5  Other (please describe)",45–60 min,Replace old transmission fluid with new fluid to help maintain smooth gear shifting and protect the transmission.,Y
,,2. How is your vehicle shifting?,"2.1  Shifting normally
2.2  Hard or rough shifting
2.3  Slipping between gears
2.4  Delayed engagement (slow to move after shifting)",,,
,,3. When was your last transmission service?,"3.1  Within the last 30,000 km
3.2  30,000 – 60,000 km ago
3.3  Over 60,000 km ago
3.4  Not sure",,,
Popular ,Brake Fluid Flush,1. Any soft brakes or warning lights?,"1.1  Yes
1.2  No",30–45 min,Remove contaminated brake fluid and refill with fresh fluid to maintain proper braking performance and safety.,Y
Popular ,Serpentine Belt Replacement,1. Any noise from the engine?,"1.1  Yes
1.2  No","30–60 min
",Install a new serpentine belt to restore proper operation of engine-driven components like the alternator and AC.,Y
,,2. Has the belt ever been replaced before?,"2.1  Yes
2.2  No
2.3  Unsure",,,
Popular ,Power Steering Fluid Replacement ,1. Any difficulty turning the wheel?,"1.1  Yes
1.2  No",15–20 min,Check the power steering system and add fluid if necessary to ensure smooth and easy steering.,Y
Popular ,Light Bulb Replacement ,1. Which light?,"1.1  Headlight
1.2  Taillight
1.3  Brake
1.4  Turn signal
1.5  Fog
1.6  Interior",20–30 min,Replace faulty or burnt-out headlight or taillight bulbs to restore proper vehicle visibility and road safety.,Y
,,2. Which side?,"2.1  Driver
2.2  Passenger
2.3  Both",,,
,,3. Bulb type preference?,"3.1  LED
3.2  Halogen
3.3  HID
3.4  Xenon
3.5  Not sure",,,
Popular ,Windshield Wiper Replacement,"1. Wipers for front, rear, or both?","1.1 Front
1.2 Rear
1.3 Both",10–15 min,"Install new windshield wiper blades to improve visibility during rain, snow, or windshield cleaning.",Y
,,2. Wiper type preference?,"2.1  Standard
2.2  Winter
2.3  Premium",,,
Popular ,Alternator Replacement,1. Symptoms?,"1.1  Dim lights
1.2  Battery keeps dying
1.3  Car won’t start",60–90 min,Remove a faulty alternator and install a new one to restore proper battery charging and electrical system performance.,Y
,,2. Check engine light on?,"2.1  Yes
2.2  No",,,
,,3. is the battery light on,"3.1  Yes
3.2  No",,,
Popular ,Check Engine Light Inspection ,1. Is the car running normally?,"1.1  Yes
1.2  No",15–30 min,"Scan your vehicle’s computer for engine codes, identify potential issues, and reset the check engine light if appropriate.",Y
,,"2. Any sounds, smells, or issues when the light is on?",,,,
,,3. Add comment,,,,
Packages ,Bronze Package – Essential Checkup,1. “Anything else the technician should know?”,,45-60 min,"Inspect & top up all under-hood fluid levels
4-wheel tire rotation
Brake inspection
Battery health test
Steering & suspension inspection
Inspect CV axle boots
Check lights, wipers & washers
Inspect air & cabin filters
Weatherstrip lubrication
Underbody inspection for leaks/damage",Y
Packages ,Silver Maintenace Package - Preventive Care,1. “Anything else the technician should know?”,,45-60 min,"Oil & filter change
Tire pressure check + adjustment
Brake cleaning & adjustment
Detailed fluid condition check (not just top-up)
Scan for basic diagnostic codes",Y
